Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
                0.00    0.00     170/493         resid (real.c:547 @ 405910) [1510]
[155]    0.0    0.00    0.00     493         norm2u3 (real.c:808 @ 4023f0) [155]
-----------------------------------------------
                0.00    0.00      21/168         mg3P (real.c:406 @ 40a368) [1252]
                0.00    0.00      21/168         mg3P (real.c:432 @ 40a5ad) [1266]
                0.00    0.00     126/168         mg3P (real.c:425 @ 40a4e7) [1260]
[156]    0.0    0.00    0.00     168         psinv (real.c:449 @ 405d50) [156]
-----------------------------------------------
                0.00    0.00      21/147         mg3P (real.c:430 @ 40a546) [1264]
                0.00    0.00     126/147         mg3P (real.c:415 @ 40a460) [1258]
[157]    0.0    0.00    0.00     147         interp (real.c:651 @ 407900) [157]
-----------------------------------------------
                0.00    0.00      21/147         mg3P (real.c:431 @ 40a588) [1265]
                0.00    0.00     126/147         mg3P (real.c:420 @ 40a4a4) [1259]
[158]    0.0    0.00    0.00     147         resid (real.c:511 @ 405290) [158]
-----------------------------------------------
                0.00    0.00     147/147         mg3P (real.c:397 @ 40a25f) [1246]
[159]    0.0    0.00    0.00     147         rprj3 (real.c:570 @ 4067d0) [159]
-----------------------------------------------
                0.00    0.00       2/4           timer_start (c_timers.c:48 @ 40a8d0) [2016]
                0.00    0.00       2/4           elapsed_time (c_timers.c:22 @ 40a910) [549]
[160]    0.0    0.00    0.00       4         wtime_ (wtime.c:8 @ 401800) [160]
-----------------------------------------------

 This table describes the call tree of the program, and was sorted by
 the total amount of time spent in each function and its children.

 Each entry in this table consists of several lines.  The line with the
 index number at the left hand margin lists the current function.
 The lines above it list the functions that called this function,
 and the lines below it list the functions this one called.
 This line lists:
     index	A unique number given to each element of the table.
		Index numbers are sorted numerically.
		The index number is printed next to every function name so
		it is easier to look up where the function is in the table.

     % time	This is the percentage of the `total' time that was spent
		in this function and its children.  Note that due to
		different viewpoints, functions excluded by options, etc,
		these numbers will NOT add up to 100%.

     self	This is the total amount of time spent in this function.

     children	This is the total amount of time propagated into this
		function by its children.

     called	This is the number of times the function was called.
		If the function called itself recursively, the number
		only includes non-recursive calls, and is followed by
		a `+' and the number of recursive calls.

     name	The name of the current function.  The index number is
		printed after it.  If the function is a member of a
		cycle, the cycle number is printed between the
		function's name and the index number.


 For the function's parents, the fields have the following meanings:

     self	This is the amount of time that was propagated directly
		from the function into this parent.

     children	This is the amount of time that was propagated from
		the function's children into this parent.

     called	This is the number of times this parent called the
		function `/' the total number of times the function
		was called.  Recursive calls to the function are not
		included in the number after the `/'.

     name	This is the name of the parent.  The parent's index
		number is printed after it.  If the parent is a
		member of a cycle, the cycle number is printed between
		the name and the index number.

 If the parents of the function cannot be determined, the word
 `<spontaneous>' is printed in the `name' field, and all the other
 fields are blank.

 For the function's children, the fields have the following meanings:

     self	This is the amount of time that was propagated directly
		from the child into the function.

     children	This is the amount of time that was propagated from the
		child's children to the function.

     called	This is the number of times the function called
		this child `/' the total number of times the child
		was called.  Recursive calls by the child are not
		listed in the number after the `/'.

     name	This is the name of the child.  The child's index
		number is printed after it.  If the child is a
		member of a cycle, the cycle number is printed
		between the name and the index number.

 If there are any cycles (circles) in the call graph, there is an
 entry for the cycle-as-a-whole.  This entry shows who called the
 cycle (as parents) and the members of the cycle (as children.)
 The `+' recursive calls entry shows the number of function calls that
 were internal to the cycle, and the calls entry for each member shows,
 for that member, how many times it was called from other members of
 the cycle.

Copyright (C) 2012-2018 Free Software Foundation, Inc.

Copying and distribution of this file, with or without modification,
are permitted in any medium without royalty provided the copyright
notice and this notice are preserved.

Index by function name

  [27] comm3 (real.c:869 @ 402767) [31] psinv (real.c:468 @ 40622f) [94] resid (real.c:537 @ 405ab4)
  [75] comm3 (real.c:876 @ 402848) [103] psinv (real.c:469 @ 406234) [116] resid (real.c:530 @ 405ac2)
  [76] comm3 (real.c:877 @ 402854) [104] psinv (real.c:470 @ 406238) [86] resid (real.c:537 @ 405ac6)
  [77] comm3 (real.c:884 @ 402a23) [62] psinv (real.c:471 @ 40623f) [117] resid (real.c:538 @ 405ace)
 [157] interp (real.c:651 @ 407900) [63] psinv (real.c:468 @ 406243) [118] resid (real.c:528 @ 405add)
  [53] interp (real.c:670 @ 407c03) [7] psinv (real.c:468 @ 406250) [119] resid (real.c:530 @ 405b08)
  [96] interp (real.c:668 @ 407c09) [83] psinv (real.c:471 @ 406256) [159] rprj3 (real.c:570 @ 4067d0)
  [78] interp (real.c:670 @ 407c0e) [139] psinv (real.c:469 @ 40625a) [69] rprj3 (real.c:602 @ 406d26)
 [127] interp (real.c:673 @ 407ca5) [105] psinv (real.c:468 @ 40625e) [13] rprj3 (real.c:604 @ 406da0)
 [128] interp (real.c:675 @ 407d48) [46] psinv (real.c:471 @ 406262) [25] rprj3 (real.c:605 @ 406dac)
  [42] interp (real.c:674 @ 407d54) [21] psinv (real.c:469 @ 406266) [50] rprj3 (real.c:604 @ 406db6)
  [43] interp (real.c:677 @ 407d59) [32] psinv (real.c:471 @ 40626a) [87] rprj3 (real.c:606 @ 406dbf)
  [54] interp (real.c:675 @ 407d63) [64] psinv (real.c:467 @ 40626e) [15] rprj3 (real.c:607 @ 406dcc)
  [97] interp (real.c:674 @ 407d67) [106] psinv (real.c:466 @ 406273) [16] rprj3 (real.c:606 @ 406dd6)
  [70] interp (real.c:677 @ 407d73) [153] randlc (randdp.c:5 @ 40a5e0) [120] rprj3 (real.c:610 @ 406def)
  [92] interp (real.c:683 @ 407e32) [140] randlc (randdp.c:47 @ 40a606) [146] rprj3 (real.c:619 @ 40714c)
  [93] interp (real.c:681 @ 407e40) [141] randlc (randdp.c:48 @ 40a60a) [147] rprj3 (real.c:620 @ 407153)
  [12] interp (real.c:680 @ 407e46) [158] resid (real.c:511 @ 405290) [148] rprj3 (real.c:615 @ 407179)
 [129] interp (real.c:681 @ 407e65) [142] resid (real.c:529 @ 4054b6) [73] rprj3 (real.c:617 @ 40717e)
 [130] interp (real.c:683 @ 407e69) [28] resid (real.c:522 @ 405500) [149] rprj3 (real.c:615 @ 4071b0)
 [131] interp (real.c:673 @ 407f41) [18] resid (real.c:523 @ 4055b0) [150] rprj3 (real.c:614 @ 4071b6)
 [132] interp (real.c:687 @ 407f48) [9] resid (real.c:524 @ 4055bc) [41] rprj3 (real.c:618 @ 4071ba)
  [11] interp (real.c:686 @ 407f4e) [107] resid (real.c:523 @ 4055c7) [121] rprj3 (real.c:612 @ 4071ca)
