2, medium.c, -O1, 5, 0.7835 sec
2, medium.c, -O1, 6, 0.9432 sec
2, medium.c, -O1, 7, 0.7966 sec
2, medium.c, -O1, 8, 0.9233 sec
2, medium.c, -O1, 9, 0.8829 sec
2, medium.c, -O1, 10, 0.9146 sec
2, medium.c, -O1, 11, 0.8339 sec
2, medium.c, -O1, 12, 0.8409 sec
2, medium.c, -O2, 1, 0.1610 sec
2, medium.c, -O2, 2, 0.2945 sec
2, medium.c, -O2, 3, 0.3309 sec
2, medium.c, -O2, 4, 0.3563 sec
2, medium.c, -O2, 5, 0.7195 sec
2, medium.c, -O2, 6, 0.6802 sec
2, medium.c, -O2, 7, 0.8880 sec
2, medium.c, -O2, 8, 0.8494 sec
2, medium.c, -O2, 9, 0.8049 sec
2, medium.c, -O2, 10, 0.7818 sec
2, medium.c, -O2, 11, 0.8902 sec
2, medium.c, -O2, 12, 0.8733 sec
2, medium.c, -O3, 1, 0.1626 sec
2, medium.c, -O3, 2, 0.2794 sec
2, medium.c, -O3, 3, 0.3750 sec
2, medium.c, -O3, 4, 0.4289 sec
2, medium.c, -O3, 5, 0.6900 sec
2, medium.c, -O3, 6, 0.7468 sec
2, medium.c, -O3, 7, 0.7406 sec
2, medium.c, -O3, 8, 0.7026 sec
2, medium.c, -O3, 9, 0.8311 sec
2, medium.c, -O3, 10, 0.8326 sec
2, medium.c, -O3, 11, 0.9166 sec
2, medium.c, -O3, 12, 0.8851 sec
2, medium.c, -Ofast, 1, 0.1556 sec
2, medium.c, -Ofast, 2, 0.2845 sec
2, medium.c, -Ofast, 3, 0.3401 sec
2, medium.c, -Ofast, 4, 0.3422 sec
2, medium.c, -Ofast, 5, 0.8630 sec
2, medium.c, -Ofast, 6, 0.8248 sec
2, medium.c, -Ofast, 7, 0.7917 sec
2, medium.c, -Ofast, 8, 0.7891 sec
2, medium.c, -Ofast, 9, 0.8821 sec
2, medium.c, -Ofast, 10, 0.9248 sec
2, medium.c, -Ofast, 11, 0.8333 sec
2, medium.c, -Ofast, 12, 0.8888 sec
2, medium.c, -Os, 1, 0.1574 sec
2, medium.c, -Os, 2, 0.2795 sec
2, medium.c, -Os, 3, 0.3353 sec
2, medium.c, -Os, 4, 0.3901 sec
2, medium.c, -Os, 5, 0.6149 sec
2, medium.c, -Os, 6, 0.6341 sec
2, medium.c, -Os, 7, 0.7038 sec
2, medium.c, -Os, 8, 0.8103 sec
2, medium.c, -Os, 9, 0.7951 sec
2, medium.c, -Os, 10, 0.8210 sec
2, medium.c, -Os, 11, 0.8618 sec
2, medium.c, -Os, 12, 0.7778 sec
3, slow.c, -O0, 1, 0.6211 sec
3, slow.c, -O0, 2, 1.0274 sec
3, slow.c, -O0, 3, 6.6584 sec
3, slow.c, -O0, 4, 1.7440 sec
3, slow.c, -O0, 5, 1.2962 sec
3, slow.c, -O0, 6, 1.7087 sec
3, slow.c, -O0, 7, 1.6792 sec
3, slow.c, -O0, 8, 1.7229 sec
3, slow.c, -O0, 9, 1.8542 sec
3, slow.c, -O0, 10, 1.9118 sec
3, slow.c, -O0, 11, 2.1180 sec
3, slow.c, -O0, 12, 1.9415 sec
3, slow.c, -O1, 1, 0.6250 sec
3, slow.c, -O1, 2, 1.7441 sec
3, slow.c, -O1, 3, 6.4532 sec
3, slow.c, -O1, 4, 1.6125 sec
3, slow.c, -O1, 5, 1.3411 sec
3, slow.c, -O1, 6, 1.7797 sec
3, slow.c, -O1, 7, 1.7068 sec
3, slow.c, -O1, 8, 1.7923 sec
3, slow.c, -O1, 9, 1.8421 sec
3, slow.c, -O1, 10, 1.9312 sec
3, slow.c, -O1, 11, 1.8096 sec
3, slow.c, -O1, 12, 2.0476 sec
3, slow.c, -O2, 1, 0.6204 sec
3, slow.c, -O2, 2, 1.4219 sec
3, slow.c, -O2, 3, 6.5176 sec
3, slow.c, -O2, 4, 1.8280 sec
3, slow.c, -O2, 5, 1.3882 sec
3, slow.c, -O2, 6, 1.7455 sec
3, slow.c, -O2, 7, 1.7112 sec
3, slow.c, -O2, 8, 1.8998 sec
3, slow.c, -O2, 9, 1.7700 sec
3, slow.c, -O2, 10, 1.6724 sec
3, slow.c, -O2, 11, 1.9613 sec
3, slow.c, -O2, 12, 1.9615 sec
3, slow.c, -O3, 1, 0.6163 sec
3, slow.c, -O3, 2, 1.3005 sec
3, slow.c, -O3, 3, 7.0963 sec
3, slow.c, -O3, 4, 1.7792 sec
3, slow.c, -O3, 5, 1.3970 sec
3, slow.c, -O3, 6, 1.7394 sec
3, slow.c, -O3, 7, 1.8294 sec
3, slow.c, -O3, 8, 1.7944 sec
3, slow.c, -O3, 9, 1.8403 sec
3, slow.c, -O3, 10, 1.8800 sec
3, slow.c, -O3, 11, 2.0333 sec
3, slow.c, -O3, 12, 2.0660 sec
3, slow.c, -Ofast, 1, 0.6421 sec
3, slow.c, -Ofast, 2, 1.1864 sec
3, slow.c, -Ofast, 3, 5.1347 sec
3, slow.c, -Ofast, 4, 1.8147 sec
3, slow.c, -Ofast, 5, 1.3010 sec
3, slow.c, -Ofast, 6, 1.7069 sec
3, slow.c, -Ofast, 7, 1.6963 sec
3, slow.c, -Ofast, 8, 1.6774 sec
3, slow.c, -Ofast, 9, 1.9025 sec
3, slow.c, -Ofast, 10, 1.9519 sec
3, slow.c, -Ofast, 11, 1.9336 sec
3, slow.c, -Ofast, 12, 1.9742 sec
3, slow.c, -Os, 1, 0.6007 sec
3, slow.c, -Os, 2, 1.0615 sec
3, slow.c, -Os, 3, 5.7507 sec
3, slow.c, -Os, 4, 1.9073 sec
3, slow.c, -Os, 5, 1.1335 sec
3, slow.c, -Os, 6, 1.7951 sec
3, slow.c, -Os, 7, 1.6401 sec
3, slow.c, -Os, 8, 1.9108 sec
3, slow.c, -Os, 9, 1.6764 sec
3, slow.c, -Os, 10, 2.0595 sec
3, slow.c, -Os, 11, 2.3834 sec
3, slow.c, -Os, 12, 2.1413 sec
3, fast.c, -O0, 1, 0.1767 sec
3, fast.c, -O0, 2, 0.0720 sec
3, fast.c, -O0, 3, 0.0497 sec
3, fast.c, -O0, 4, 0.0373 sec
3, fast.c, -O0, 5, 0.0352 sec
3, fast.c, -O0, 6, 0.0306 sec
3, fast.c, -O0, 7, 0.0291 sec
3, fast.c, -O0, 8, 0.0230 sec
3, fast.c, -O0, 9, 0.0301 sec
3, fast.c, -O0, 10, 0.0276 sec
3, fast.c, -O0, 11, 0.0305 sec
3, fast.c, -O0, 12, 0.0275 sec
3, fast.c, -O1, 1, 0.0479 sec
3, fast.c, -O1, 2, 0.0128 sec
3, fast.c, -O1, 3, 0.0076 sec
3, fast.c, -O1, 4, 0.0057 sec
3, fast.c, -O1, 5, 0.0064 sec
3, fast.c, -O1, 6, 0.0051 sec
3, fast.c, -O1, 7, 0.0051 sec
3, fast.c, -O1, 8, 0.0043 sec
3, fast.c, -O1, 9, 0.0051 sec
3, fast.c, -O1, 10, 0.0047 sec
3, fast.c, -O1, 11, 0.0043 sec
3, fast.c, -O1, 12, 0.0039 sec
3, fast.c, -O2, 1, 0.0000 sec
3, fast.c, -O2, 2, 0.0001 sec
3, fast.c, -O2, 3, 0.0001 sec
3, fast.c, -O2, 4, 0.0001 sec
3, fast.c, -O2, 5, 0.0001 sec
3, fast.c, -O2, 6, 0.0001 sec
3, fast.c, -O2, 7, 0.0001 sec
3, fast.c, -O2, 8, 0.0002 sec
3, fast.c, -O2, 9, 0.0002 sec
3, fast.c, -O2, 10, 0.0002 sec
3, fast.c, -O2, 11, 0.0002 sec
3, fast.c, -O2, 12, 0.0002 sec
3, fast.c, -O3, 1, 0.0000 sec
3, fast.c, -O3, 2, 0.0001 sec
3, fast.c, -O3, 3, 0.0001 sec
3, fast.c, -O3, 4, 0.0001 sec
3, fast.c, -O3, 5, 0.0001 sec
3, fast.c, -O3, 6, 0.0001 sec
3, fast.c, -O3, 7, 0.0001 sec
3, fast.c, -O3, 8, 0.0002 sec
3, fast.c, -O3, 9, 0.0002 sec
3, fast.c, -O3, 10, 0.0001 sec
3, fast.c, -O3, 11, 0.0002 sec
3, fast.c, -O3, 12, 0.0002 sec
3, fast.c, -Ofast, 1, 0.0000 sec
3, fast.c, -Ofast, 2, 0.0001 sec
3, fast.c, -Ofast, 3, 0.0001 sec
3, fast.c, -Ofast, 4, 0.0001 sec
3, fast.c, -Ofast, 5, 0.0001 sec
3, fast.c, -Ofast, 6, 0.0001 sec
3, fast.c, -Ofast, 7, 0.0001 sec
3, fast.c, -Ofast, 8, 0.0001 sec
3, fast.c, -Ofast, 9, 0.0002 sec
3, fast.c, -Ofast, 10, 0.0002 sec
3, fast.c, -Ofast, 11, 0.0002 sec
3, fast.c, -Ofast, 12, 0.0002 sec
3, fast.c, -Os, 1, 0.0000 sec
3, fast.c, -Os, 2, 0.0000 sec
3, fast.c, -Os, 3, 0.0000 sec
3, fast.c, -Os, 4, 0.0001 sec
3, fast.c, -Os, 5, 0.0001 sec
3, fast.c, -Os, 6, 0.0001 sec
3, fast.c, -Os, 7, 0.0001 sec
3, fast.c, -Os, 8, 0.0001 sec
3, fast.c, -Os, 9, 0.0001 sec
3, fast.c, -Os, 10, 0.0002 sec
3, fast.c, -Os, 11, 0.0002 sec
3, fast.c, -Os, 12, 0.0002 sec
3, medium.c, -O0, 1, 0.1886 sec
3, medium.c, -O0, 2, 0.3889 sec
3, medium.c, -O0, 3, 0.3731 sec
3, medium.c, -O0, 4, 0.4013 sec
3, medium.c, -O0, 5, 0.9700 sec
3, medium.c, -O0, 6, 0.8927 sec
3, medium.c, -O0, 7, 0.9182 sec
3, medium.c, -O0, 8, 0.8759 sec
3, medium.c, -O0, 9, 0.9805 sec
3, medium.c, -O0, 10, 0.9197 sec
3, medium.c, -O0, 11, 0.9376 sec
3, medium.c, -O0, 12, 0.9607 sec
3, medium.c, -O1, 1, 0.1889 sec
3, medium.c, -O1, 2, 0.2788 sec
3, medium.c, -O1, 3, 0.3405 sec
3, medium.c, -O1, 4, 0.3626 sec
3, medium.c, -O1, 5, 0.6305 sec
3, medium.c, -O1, 6, 0.7392 sec
3, medium.c, -O1, 7, 0.7505 sec
3, medium.c, -O1, 8, 0.8055 sec
3, medium.c, -O1, 9, 0.8907 sec
3, medium.c, -O1, 10, 0.8171 sec
3, medium.c, -O1, 11, 0.8083 sec
3, medium.c, -O1, 12, 0.8524 sec
